class,replicate,survivorship
SC,1,62.5
SC,2,45.45
SC,3,61.54
SC,4,86.67
SC,5,100
SC,6,82.14
SC,7,76.19
SC,8,64.52
SC,9,62.5
SC,10,69.57
SC,11,16.67
SC,12,3.85
SD,1,0
SD,2,52.63
SD,3,70.97
SD,4,76.47
SD,5,91.67
SD,6,55.26
SD,7,51.11
SD,8,81.67
SD,9,70
SD,10,95
SCF2,1,0
SCF2,2,66.66666667
SCF2,3,3.703703704
SCF2,4,80
SCF2,5,27.65957447
SCF2,6,73.33333333
SCF2,7,74.07407407
SCF2,8,0
SCF2,9,71.42857143
SCF2,10,0
SCF2,11,45.45454545
SCF2,12,0
SDF2,1,60
SDF2,2,77.777778
SDF2,3,33.333333
SDF2,4,81.25
SDF2,5,80
SDF2,6,46.666667
SDF2,7,59.090909
SDF2,8,24.137931
SDF2,9,81.25
SDF2,10,27.272727
SDF2,11,25
SDF2,12,0
SC4,1,100
SC4,2,100
SC4,3,100
SC4,4,100
SC4,5,50
SC4,6,83.3333333
SC4,7,81.25
SC4,8,91.6666667
SC4,9,55.5555556
SC4,10,100
SC4,11,93.75
SC4,12,100
SC4,13,42.8571429
SC4,14,75
SC4,15,100
SC4,16,90.9090909
SC4,17,80
SC6,1,100
SC6,2,100
SC6,3,66.66666667
SC6,4,100
SC6,5,100
SC6,6,62.5
SC6,7,0
SC6,8,64.28571429
SC6,9,25
SC6,10,13.33333333
SC6,11,0
SC6,12,25
SC6,13,42.85714286
SC6,14,6.896551724
SC6,15,50
SC6,16,80
SC6,17,100
SC6,18,100
SC6,19,66.66666667
SC6,20,66.66666667
SC6,21,85.71428571
SC6,22,83.33333333
SC6,23,100
SC6,24,100
SC7,1,100
SC7,2,100
SC7,3,43.75
SC7,4,65
SC7,5,53.3333333
SC7,6,80
SC7,7,93.0232558
SC7,8,83.3333333
SC7,9,66.6666667
SC7,10,85.7142857
SC7,11,100
SC7,12,86.1111111
SC7,13,87.5
SC7,14,60
SC7,15,60
SC7,16,77.7777778
SC7,17,85.7142857
SC7,18,70
SC8,1,61.2903226
SC8,2,50
SC8,3,25
SC8,4,100
SC8,5,50
SC8,6,50
SC8,7,86.9565217
SC8,8,100
SC8,9,100
SC8,10,62.5
SC8,11,89.4736842
SC8,12,10
SC8,13,0
SC8,14,50
SC8,15,100
SC8,16,77.7777778
SC8,17,100
SC8,18,66.6666667
SC8,19,100
SC8,20,80
SC8,21,75
SC8,22,75
SC8,23,33.3333333
SC8,24,100
SC8,25,100
SC8,26,100
SC8,27,69.2307692
SC8,28,81.8181818
SD3,1,71.4285714
SD3,2,100
SD3,3,66.6666667
SD3,4,73.6842105
SD3,5,92
SD3,6,50
SD3,7,94.1176471
SD3,8,100
SD3,9,60
SD3,10,50
SD3,11,100
SD3,12,60
SD3,13,50
SD3,14,66.6666667
SD3,15,44.4444444
SD3,16,100
SD3,17,66.6666667
SD3,18,50
SD3,19,100
SD3,20,100
SD3,21,80
SD3,22,75
SD3,23,100
SD3,24,66.6666667
SD3,25,66.6666667
SD4,1,50
SD4,2,100
SD4,3,83.33333333
SD4,4,50
SD4,5,100
SD4,6,0
SD4,7,30
SD4,8,100
SD4,9,75
SD4,10,0
SD4,11,100
SD4,12,89.28571429
SD4,13,80
SD4,14,73.33333333
SD4,15,98.18181818
SD7,1,50
SD7,2,100
SD7,3,100
SD7,4,0
SD7,5,60
SD7,6,100
SD7,7,83.33333333
SD7,8,100
SD7,9,85.71428571
SD7,10,75
SD7,11,100
SD7,12,62.5
SD7,13,60
SD7,14,50
SD7,15,100
SD7,16,75
SD7,17,100
SD7,18,75
SD7,19,11.11111111
SD7,20,50
SD7,21,66.66666667
SD7,22,100
